日期,交易总结,建仓逻辑
2026.7.30,交易总结：今日开盘后价格持续受分时均价压制，一路震荡走低，全程反弹均为下跌中继。虽然整体交易最终小幅盈利，但买点都存在误判，先后把中继震荡错认为双底、急跌企稳错当成底背离，盈利依靠短线偶然反弹；持续逆势频繁做多风险较大，很容易一次杀跌吞噬全部收益。,建仓逻辑：价格创日内新低，判断形成底背离，尝试进场搏超跌反弹。
2026.7.31,"交易总结：
今日高开后持续弱势，价格长期处在分时均价下方。
亮点是11:17：36这笔交易，精准识别底背离，按照规则买入，是今日唯一满足入场标准的做多操作。
主要问题是其余大部分买卖没有等待底背离、双底等硬性结构确认，仅凭“跌速放缓”主观预判抄底，逆势高频操作，多数单子亏损。",建仓逻辑：午后持续回落，下跌速度放缓，认为与上午11:15左右形成双底，尝试低吸。
2026.8.3,交易总结：今日开盘短暂冲高后持续回落，全天价格长期运行在均价线下方，整体属于弱势震荡下行格局，早盘预期的下杀后单边上行行情未出现。5笔交易大部分买点属于左侧博弈超跌反弹，只有少数入场满足有效底背离或双底标准。,建仓逻辑：14:09-14:15期间期货上涨力度当日最强劲，选择做多，但操作稍有滞后，未能实现利润最大化。
2026.8.4,"交易总结：今日首次实操ETF一二级市场折溢价套利，共计操作3支标的：515080中证红利（折价赎回套利）、159611电力ETF（溢价申购套利）、159755电池ETF（溢价申购套利）。
1.找市场做单尽量找现差在一档以内的，例如100w的市场若现差超过1000就不做单；2.为了快速买入而不断吃更高价格的卖单即为向上扫单，反之则为向下接单。

实操问题总结：1.成分股散单委托存在大量无法撤单的滞留委托，冲击成本放大；2.没有动态监控折溢价实时收窄幅度，行情单边下跌时没有及时终止套利；3.首次实操对一二级市场交易延时、冲击成本预估不足。",
2026.8.5,"交易总结：1.今日四笔交易同一问题集中在选市场市值过大，实盘交易不现实。之后选市场套利预期成本不超过1500000。
2.隔夜美国出台针对国内光通信产业的制裁利空，次日集合竞价阶段容易形成稳定套利窗口。套利逻辑：利空落地后，资金恐慌抛售光通信成分股，ETF二级市场价格快速跳水，但成分股恐慌下跌存在短期非理性超跌，市价大幅低于实时IOPV，形成大额折价，折价空间充足，套利利润厚度高。
3.值得做的点位：①首波上涨后回调幅度不超涨幅一半（有效回调），二次起涨第一时间进场；②前一日强势标的，次日平开/低开跌幅不超1%，企稳拉升第一下做单。
4.半导体&通信跷跷板效应：场内资金二选一轮动，一方大涨另一方易走弱；单边行情无套利机会时，切换反向板块寻找折溢价空间；但两板块同涨同跌时该规律失效。
5.159887尾盘顺势套利：14:30-14:50操作，沿尾盘多头趋势做溢价套利；14:55后不开新仓，规避尾盘流动性不足、委托无法撤单风险。",
2026.8.7,交易总结：1.昨夜美国对多晶硅增加关税消息只可能对开盘有影响，且观察今日开盘发现并无明显影响，所以此消息不算做支撑后续交易的理论依据。2.判断盘口好坏：观察分时成交量，出现持续异常放量、大单连续扫单，代表机构扫单，盘口厚实、流动性好。,
2026.8.10,"交易总结：1.当下行情尽量不去做波，找好市场，可做尾盘。若尾盘做单临近收盘无法扫单成交则及时撤单等转天竞价时卖掉。
2.期货出现A杀不做波。
3.做折价时“赎回ETF”算平一部分仓（≈卖掉一部分股票）需要等上涨再点，若继续上升到高点再点卖出篮子。
4.明天起看到蓝框报点显示“趋势回踩反弹成功”再做单。",
2026.7.24,交易总结：1.一般低开微微下刹时可以抄底 2.双底10.05和10.23的期货非常有力，看到后在控制成本的范围内就买。3.在弱转强的盘中，期货只要不跌，股价有涨的趋势，就可以买入.4.期货不明显时，可以看溢价利润，定一个ETF较低的价格由红变绿且亏损很多时股价大涨。,建仓逻辑：前面一直在横盘震荡，且金叉已经出现，是上涨信号，期货到一个最新的低点，向上回抽，于是买入
2026.7.16,,"建仓逻辑：1.底背离
         2.双底
         3.期货力度
         4.股票联动。"
2026.07.17,日总结：不要贪心，该止损时就止损，该止盈时就止盈,建仓逻辑：双底，MACD快线和慢线越来越近。
